id,name,name_part,provided_gnd
org_0362,geistliche > Minoriten,Minoriten,
org_0363,geistliche > Augustinereremiten > Eschwege,Eschwege,
org_0364,geistliche > Säkularklerus > Gap - Bistum,Gap - Bistum,
org_0365,geistliche > Säkularklerus > Lodi - Bistum,Lodi - Bistum,
org_0366,weltliche > Köln - Universität,Köln - Universität,
org_0367,geistliche > Benediktiner > Cassinenser Kongregation > Florenz - S. Maria Novella,Florenz - S. Maria Novella,
org_0368,geistliche > Säkularklerus > Köln - Bistum,Köln - Bistum,
org_0369,geistliche > Säkularklerus > Havelberg - Bistum,Havelberg - Bistum,
org_0370,weltliche > Prag - Universität,Prag - Universität,
org_0371,geistliche > Säkularklerus > Prag - Erzbistum,Prag - Erzbistum,
org_0372,geistliche > Benediktiner > Bayerische Kongregation > Reichenbach,Reichenbach,http://d-nb.info/gnd/4271614-7
org_0373,geistliche > Säkularklerus > Genf - Bistum,Genf - Bistum,
org_0374,geistliche > Benediktiner > Maurinerkongregation > Fleury - Saint-Benoît-sur-Loire,Fleury - Saint-Benoît-sur-Loire,
org_0375,geistliche > Säkularklerus > Meißen - Bistum,Meißen - Bistum,
org_0376,geistliche > Benediktiner > Bingen - Rupertsberg (Benediktinerinnen),Bingen - Rupertsberg (Benediktinerinnen),
org_0377,geistliche > Augustiner-Chorherren > Konstanz - St. Stephan,Konstanz - St. Stephan,
org_0378,weltliche > Bologna - Universität,Bologna - Universität,
org_0379,geistliche > Säkularklerus > Rheinfelden - Kollegiatstift,Rheinfelden - Kollegiatstift,
org_0380,geistliche > Säkularklerus > Chur - Bistum,Chur - Bistum,
org_0381,geistliche > Säkularklerus > Eger - Erzbistum,Eger - Erzbistum,
org_0382,weltliche > Mailand - Hof,Mailand - Hof,
org_0383,geistliche > Säkularklerus > Brixen - Domkapitel,Brixen - Domkapitel,
org_0384,geistliche > Dominikaner,Dominikaner,
org_0385,geistliche > Säkularklerus > Köln - St. Andreas,Köln - St. Andreas,
org_0386,geistliche > Augustiner-Chorherren > Zürich - St. Martin (Zürichberg),Zürich - St. Martin (Zürichberg),
org_0387,geistliche > Säkularklerus > Metz - Bistum,Metz - Bistum,
org_0388,geistliche > Zisterzienser > Hohenfurth,Hohenfurth,http://d-nb.info/gnd/1086374797
org_0389,geistliche > Zisterzienser > Goldenkron,Goldenkron,http://d-nb.info/gnd/16211527-1
org_0390,geistliche > Benediktiner > Pannonhalma,Pannonhalma,http://d-nb.info/gnd/2134383-4
org_0391,geistliche > Säkularklerus > Wien - Passauisches Offizialat,Wien - Passauisches Offizialat,
org_0392,geistliche > Zisterzienser > Sittichenbach,Sittichenbach,http://d-nb.info/gnd/4556183-7
org_0393,geistliche > Benediktiner > Montesacro,Montesacro,http://d-nb.info/gnd/4784617-3
org_0394,geistliche > Säkularklerus > Köln - Domkapitel,Köln - Domkapitel,
org_0395,geistliche > Benediktiner > Bayerische Kongregation > Neumarkt - St. Veit,Neumarkt - St. Veit,
org_0396,geistliche > Augustiner-Chorfrauen > Genua - S. Maria delle Grazie,Genua - S. Maria delle Grazie,
org_0397,geistliche > Säkularklerus > Treviso - Bistum,Treviso - Bistum,
org_0398,geistliche > Säkularklerus > Veszprém - Bistum,Veszprém - Bistum,
org_0399,geistliche > Benediktiner > Belgische Klöster > Gembloux,Gembloux,http://d-nb.info/gnd/4389976-6
org_0400,geistliche > Benediktiner > Oberschwäbische Kongregation > Blaubeuren,Blaubeuren,http://d-nb.info/gnd/4458487-8
org_0401,geistliche > Dominikaner > Erfurt,Erfurt,http://d-nb.info/gnd/4269084-5
org_0402,geistliche > Säkularklerus > Lüttich - Bistum,Lüttich - Bistum,
org_0403,geistliche > Zisterzienser > St. Urban,St. Urban,http://d-nb.info/gnd/1086699386
org_0404,geistliche > Franziskaner > Pisa,Pisa,http://d-nb.info/gnd/7722922-8
org_0405,weltliche > Stirling - Hof,Stirling - Hof,
org_0406,geistliche > Augustiner-Chorherren > Dießen,Dießen,http://d-nb.info/gnd/2041264-2
org_0407,geistliche > Augustiner-Chorherren > Wien - St. Dorothea,Wien - St. Dorothea,
org_0408,geistliche > Kanonissen > Freckenhorst,Freckenhorst,http://d-nb.info/gnd/4311051-4
org_0409,geistliche > Säkularklerus > Caesarea - Erzbistum,Caesarea - Erzbistum,
org_0410,weltliche > Valladolid - Hof,Valladolid - Hof,
org_0411,weltliche > Madrid - Hof,Madrid - Hof,
org_0412,weltliche > Pamplona - Hof,Pamplona - Hof,
org_0413,weltliche > Genua - Hof,Genua - Hof,
org_0414,weltliche > Montferrat - Markgrafschaft,Montferrat - Markgrafschaft,
org_0415,geistliche > Säkularklerus > Toledo - Erzbistum,Toledo - Erzbistum,
org_0416,weltliche > Foix und Bigorre - Grafschaft,Foix und Bigorre - Grafschaft,
org_0417,weltliche > Florenz - Magistrat,Florenz - Magistrat,
org_0418,weltliche > Siena - Magistrat,Siena - Magistrat,
org_0419,weltliche > Innsbruck - Hof,Innsbruck - Hof,
org_0420,weltliche > Savoyen - Herzogtum,Savoyen - Herzogtum,
org_0421,weltliche > Österreich - Herzogtum,Österreich - Herzogtum,
org_0422,weltliche > Roskilde - Hof,Roskilde - Hof,
org_0423,geistliche > Dominikaner > Genua,Genua,
org_0424,geistliche > Kapuziner > Petra Rubea,Petra Rubea,
org_0425,geistliche > Kartäuser > Prag,Prag,http://d-nb.info/gnd/7731773-7
org_0426,geistliche > Benediktiner > Nürnberg - St. Egidien (Schottenkloster),Nürnberg - St. Egidien (Schottenkloster),
org_0427,geistliche > Benediktiner > Bergen bei Neuburg (Benediktinerinnen),Bergen bei Neuburg (Benediktinerinnen),http://d-nb.info/gnd/4691399-3
org_0428,weltliche > Lemberg - Kastellanei,Lemberg - Kastellanei,
org_0429,geistliche > Säkularklerus > Bamberg - Domkapitel,Bamberg - Domkapitel,
