id,name,forename,surname,provided_gnd
person__3473,Petrus Mersehoff,Petrus,Mersehoff,
person__3474,Fidelis Gerbert,Fidelis,Gerbert,
person__3475,Christoph Müller von Prankenhaimb,Christoph,Müller von Prankenhaimb,
person__3476,J. A. C. Schaffgotsch,J. A. C.,Schaffgotsch,
person__3477,Bernhard Reyder,Bernhard,Reyder,
person__3479,W.B. Panzer,W.B.,Panzer,
person__3480,Cölestin Berther,Cölestin,Berther,
person__3481,Johann Christoph Eibelhuber,Johann Christoph,Eibelhuber,http://d-nb.info/gnd/1056084286
person__3482,Anselm Desing,Anselm,Desing,http://d-nb.info/gnd/116083905
person__3483,Augustin Tröster,Augustin,Tröster,
person__3484,Claudius Frere,Claudius,Frere,
person__3485,Bernhard Franck,Bernhard,Franck,
person__3486,Johann Baptist Eck,Johann Baptist,Eck,
person__3487,Rupert Krenner,Rupert,Krenner,
person__3488,Mauritius Höppel,Mauritius,Höppel,
person__3489,Cölestin Teschler,Cölestin,Teschler,
person__3490,Erasmo Gaeta,Erasmo,Gaeta,
person__3491,Johann Hermann Schmincke,Johann Hermann,Schmincke,
person__3492,Gabriel Lacodre,Gabriel,Lacodre,
person__3493,Louis Tasche,Louis,Tasche,
person__3494,Jacques Martin,Jacques,Martin,
person__3495,Pierre Carpentier,Pierre,Carpentier,http://d-nb.info/gnd/174128827
person__3496,Petrus Daniel,Petrus,Daniel,
person__3497,Johannes Georg Koilbin,Johannes Georg,Koilbin,
person__3498,Jean Thiroux,Jean,Thiroux,
person__3499,Jacques Boyer,Jacques,Boyer,
person__3500,François Anceaume,François,Anceaume,
person__3501,Johannes Stuer,Johannes,Stuer,
person__3502,Sigismund Pusch,Sigismund,Pusch,
person__3503,Andreas Reuter,Andreas,Reuter,
person__3504,Antonius Caesaelius,Antonius,Caesaelius,
person__3505,Cipriano Binaldini,Cipriano,Binaldini,
person__3506,Giovanni Corner,Giovanni,Corner,
person__3507,Cyprianus von S. Maria di Praglia,Cyprianus von S. Maria di Praglia,,
person__3508,Paolo Ovio,Paolo,Ovio,
person__3509,Justinianus Atestinus,Justinianus Atestinus,,
person__3511,Cesario De Laude,Cesario,De Laude,
person__3512,Ambrosius de Lucerna,Ambrosius de Lucerna,,
person__3513,Gregorius De Turre,Gregorius,De Turre,
person__3514,Hilarius ab Antipoli,Hilarius ab Antipoli,,
person__3515,Benedikt Maria Angehrn,Benedikt Maria,Angehrn,
person__3516,Martinus Lipenius,Martinus,Lipenius,
person__3517,Livia Eletta Franzina,Livia Eletta Franzina,,
person__3518,Andreas von Utrecht,Andreas von Utrecht,,
person__3519,Bernhard von Cluny (Morlas),Bernhard von Cluny (Morlas),,
person__3520,Claudius Monachus,Claudius Monachus,,
person__3521,Ericus Monachus,Ericus Monachus,,
person__3522,Erhardus Monachus,Erhardus Monachus,,
person__3524,Florus von St. Trudpert,Florus von St. Trudpert,,
person__3525,Gunther von Niederaltaich,Gunther von Niederaltaich,,
person__3527,Heimo von St. Jakob,Heimo von St. Jakob,,
person__3528,Ismarus Monachus,Ismarus Monachus,,
person__3529,Johannes Scotus,Johannes Scotus,,
person__3530,Marcus Monachus,Marcus Monachus,,
person__3531,Marian von Fulda,Marian von Fulda,,
person__3532,Paulus Diaconus (Langobardus),Paulus Diaconus (Langobardus),,
person__3533,Oswin von Canterbury,Oswin von Canterbury,,
person__3534,Strabus Monachus,Strabus Monachus,,
person__3535,Rupert von St. Remigius,Rupert von St. Remigius,,
person__3536,Roger Monachus,Roger Monachus,,
person__3537,Rodolphus Flaviacensis,Rodolphus Flaviacensis,,
person__3538,Rudolph von Michelsberg,Rudolph von Michelsberg,,
person__3539,Theodoricus Monachus,Theodoricus Monachus,,
person__3540,Wilhelm von St.-Denis,Wilhelm von St.-Denis,,
person__3541,Windichinus von Corbie,Windichinus von Corbie,,
person__3542,Adamus Abbas,Adamus Abbas,,
person__3543,Eusebius von Cäsarea,Eusebius von Cäsarea,,
person__3544,Elisabeth von Neustadt,Elisabeth von Neustadt,,
person__3545,Adelheid von Breisach,Adelheid von Breisach,,
person__3546,Mechthild von Stans,Mechthild von Stans,,
person__3547,Katharina von Gebweiler,Katharina von Gebweiler,,
person__3548,Johann Baptist Kraus,Johann Baptist,Kraus,
