id,name,forename,surname,provided_gnd
person__301,Daniel Georges Viole,Daniel Georges,Viole,
person__302,Jean Hilarion Le Febvre,Jean Hilarion,Le Febvre,
person__303,Léonard Louis Pauthut,Léonard Louis,Pauthut,
person__304,Jean-Francois Ange Nalet,Jean-Francois Ange,Nalet,
person__305,Pierre Romain La Place,Pierre Romain,La Place,
person__306,Philippe Des Vignes,Philippe,Des Vignes,
person__307,Nicolas Ignace Philibert,Nicolas Ignace,Philibert,
person__308,Nicolas Placide Roussel,Nicolas Placide,Roussel,
person__309,Jean Philibert Oudin,Jean Philibert,Oudin,
person__310,Nicolas Hugues Ménard,Nicolas Hugues,Ménard,
person__311,Jean Firmin Rainssant,Jean Firmin,Rainssant,
person__312,Athanase de Mongin,Athanase de,Mongin,
person__313,Anselme Rolle,Anselme,Rolle,
person__315,Reiner von Lüttich,Reiner von Lüttich,,
person__316,Hl. Alkuin,Hl. Alkuin,,
person__317,Majolus von Cluny,Majolus von Cluny,,
person__319,Laurentius von Durham,Laurentius von Durham,,
person__321,Alexander VI.,Alexander VI.,,
person__322,Hl. Beda Venerabilis,Hl. Beda Venerabilis,,
person__323,Ekkehard V. von St. Gallen,Ekkehard V. von St. Gallen,,
person__324,Johann Scheckmann,Johann,Scheckmann,
person__325,Konrad von Scheyern,Konrad von Scheyern,,
person__326,Stephan von Scheyern,Stephan von Scheyern,,
person__327,Rather von Verona,Rather von Verona,,
person__328,Ratram von Corbie,Ratram von Corbie,,
person__329,Hl. Hermann von Niederaltaich,Hl. Hermann von Niederaltaich,,
person__330,Heinrich Steoro,Heinrich Steoro,,
person__331,Konrad Welling,Konrad,Welling,
person__332,Ulrich Welling,Ulrich,Welling,
person__333,Gerhoch von Reichersberg,Gerhoch von Reichersberg,,
person__334,Urban Pentaz,Urban,Pentaz,
person__335,Martin von Senging,Martin von Senging,,
person__336,Johannes Berardi,Johannes,Berardi,http://d-nb.info/gnd/100948472
person__337,Costantino Di Nola,Costantino,Di Nola,
person__338,Chrysostomus Calaber,Chrysostomus,Calaber,http://d-nb.info/gnd/100741274
person__339,Johann Philipp von Vorburg,Johann Philipp von,Vorburg,
person__340,Constantinus Africanus,Constantinus Africanus,,
person__341,Tetradius von Besançon,Tetradius von Besançon,,
person__342,Hl. Fintan,Hl. Fintan,,
person__343,Haimo von Halberstadt,Haimo von Halberstadt,,
person__344,Johann Richey,Johann,Richey,
person__345,Otto Aicher,Otto,Aicher,http://d-nb.info/gnd/124578225
person__346,Placidus Steinbacher,Placidus,Steinbacher,
person__347,Paul Mezger,Paul,Mezger,
person__348,Ernst Vols,Ernst,Vols,
person__349,Johann Impekoven,Johann,Impekoven,
person__351,Arnefrid von Reichenau,Arnefrid von Reichenau,,
person__352,Waldo von Reichenau,Waldo von Reichenau,,
person__353,Hatto I.,Hatto I.,,
person__354,Erlebald von Reichenau,Erlebald von Reichenau,,
person__355,Wetti von St. Gallen,Wetti von St. Gallen,,
person__356,Tatto von Kempten,Tatto von Kempten,,
person__359,Walahfrid Strabo,Walahfrid Strabo,,
person__360,Ermenrich von Ellwangen,Ermenrich von Ellwangen,,
person__361,Hatto III.,Hatto III.,,
person__364,Warmann von Konstanz,Warmann von Konstanz,,
person__365,Berno von Reichenau,Berno von Reichenau,,
person__366,Hermann von Reichenau,Hermann von Reichenau,,
person__367,Heinrich von Karpfen,Heinrich von Karpfen,,
person__368,Konrad von Zimmern,Konrad von Zimmern,,
person__370,Leonhard Eggerer,Leonhard,Eggerer,
person__371,Matthias Praytenwieser,Matthias,Praytenwieser,
person__372,Ulrich Hochmayr,Ulrich,Hochmayr,
person__373,Leonardo Calzolaio,Leonardo,Calzolaio,
person__375,Maurus de Ascha,Maurus de,Ascha,http://d-nb.info/gnd/142719935
person__376,Nikolaus Christel,Nikolaus,Christel,
person__377,Matthäus Weiß,Matthäus,Weiß,
person__378,Karl Jacobi,Karl,Jacobi,
person__379,Cölestin Probst,Cölestin,Probst,
person__380,Ägydius Kibler,Ägydius,Kibler,
person__381,Ulrich Staudigl,Ulrich,Staudigl,
person__382,Maurus Rambeck,Maurus,Rambeck,
person__383,Kajetan Kolberer,Kajetan,Kolberer,
person__384,Lampert Grienmelt,Lampert,Grienmelt,
person__386,Ildephons Gerstl,Ildephons,Gerstl,
person__388,Konrad von Mondsee,Konrad von Mondsee,,
person__389,Berthold von Regensburg,Berthold von Regensburg,,
person__391,Hieronymus von Judenburg,Hieronymus von Judenburg,,
person__392,Heinrich Totting von Oyta,Heinrich Totting von Oyta,,
person__393,Heinrich von Hessen,Heinrich von Hessen,,
person__394,Angelo Grillo,Angelo,Grillo,http://d-nb.info/gnd/119159899
person__396,Angelo Pietra,Angelo,Pietra,
person__397,Karl Stengel,Karl,Stengel,
person__398,Ernst von Pardubitz,Ernst von Pardubitz,,
person__399,Erhard Niggel,Erhard,Niggel,
person__400,Coelestin Sfondrati,Coelestin,Sfondrati,
person__403,Werner von Ellerbach,Werner von Ellerbach,,
person__404,Johann Staupitz,Johann,Staupitz,
person__405,David Gregor Corner,David Gregor,Corner,
person__406,Cölestin Vogl,Cölestin,Vogl,
person__407,Hl. Marianus Scotus,Hl. Marianus Scotus,,
person__408,Konrad von Raitenbuch,Konrad von Raitenbuch,,
person__409,Heinrich (OSB Zwiefalten),Heinrich (OSB Zwiefalten),,
person__410,Hl. Wilhelm von Hirsau,Hl. Wilhelm von Hirsau,,
person__411,Albrecht von Bonstetten,Albrecht von Bonstetten,,
person__412,Johannes Griesherr,Johannes,Griesherr,
person__414,Jacob Albrecht,Jacob,Albrecht,
person__415,Gebhard Raminger,Gebhard,Raminger,
person__417,Franz Ransperg,Franz,Ransperg,
person__418,Joseph Langenauer,Joseph,Langenauer,
person__419,Placidus Hellbock,Placidus,Hellbock,
person__420,Anton Vögel,Anton,Vögel,
person__421,Franz Pappus von Laubenberg,Franz,Pappus von Laubenberg,
person__422,Michael Boner,Michael,Boner,http://d-nb.info/gnd/11962592X
person__424,Ägydius Rambeck,Ägydius,Rambeck,
person__425,Arsenius Sulger,Arsenius,Sulger,
person__426,Alanus Pfeiffer,Alanus,Pfeiffer,
person__428,Arnold Wion,Arnold,Wion,
person__431,Anton Stroz,Anton,Stroz,
person__432,Alphons Stadlmayr,Alphons,Stadlmayr,
person__433,Anastasius Schreitter,Anastasius,Schreitter,
person__434,Athanasius Gugger,Athanasius,Gugger,http://d-nb.info/gnd/1013261550
person__435,Anselm Bisling,Anselm,Bisling,
person__436,Anton Kiefer,Anton,Kiefer,
person__437,Augustin Reding,Augustin,Reding,
person__438,Augustin Magg,Augustin,Magg,
person__442,Basil Iten,Basil,Iten,
person__444,Basil Finkeneis,Basil,Finkeneis,
person__446,Benedikt Pettschacher,Benedikt,Pettschacher,
person__447,Benedikt Cherle,Benedikt,Cherle,http://d-nb.info/gnd/120438534
person__448,Franz Schmier,Franz,Schmier,
person__449,Benedikt van Haeften,Benedikt van,Haeften,
person__451,Konrad Hunger,Konrad,Hunger,
person__454,Karl Schulthais,Karl,Schulthais,
person__457,Konrad Müller,Konrad,Müller,
person__458,Christoph Giel von Gielsperg,Christoph,Giel von Gielsperg,
person__460,Konrad Wanner,Konrad,Wanner,
person__461,Korbinian Khamm,Korbinian,Khamm,
person__462,Korbinian Cherle,Korbinian,Cherle,
person__465,Desiderius Schapperger,Desiderius,Schapperger,
person__466,Edmund Manincor de Cassez,Edmund,Manincor de Cassez,
person__467,Edmund Egg,Edmund,Egg,
person__468,Franz Plöchinger,Franz,Plöchinger,
person__469,Franz Mezger,Franz,Mezger,
person__470,Georg III. Gaisser,Georg III.,Gaisser,
person__471,Gregor Dietl,Gregor,Dietl,
person__472,Gabriel Bucelin,Gabriel,Bucelin,
person__473,Gotthard Vischl,Gotthard,Vischl,
person__476,Hermann Settelin,Hermann,Settelin,
person__477,Honorius Aigner,Honorius,Aigner,http://d-nb.info/gnd/100981771
person__479,Hieronymus Jung,Hieronymus,Jung,
person__480,Hermann Schenck,Hermann,Schenck,
person__482,Joachim Seiler,Joachim,Seiler,
person__485,Giacomo Graffi,Giacomo,Graffi,
person__486,Joseph Drescher,Joseph,Drescher,
person__487,Ignaz Trauner,Ignaz,Trauner,
person__488,Johannes Bertels,Johannes,Bertels,
person__489,Joseph Mezger,Joseph,Mezger,
person__491,Joachim Morsack,Joachim,Morsack,
person__492,Ignaz Betschart,Ignaz,Betschart,
person__493,Lambert Catan,Lambert,Catan,
person__495,Ludwig Babenstuber,Ludwig,Babenstuber,
person__498,Marian Schott,Marian,Schott,
person__499,Marian Lendlmayr,Marian,Lendlmayr,
person__500,Maurus Lichtenhaimb,Maurus,Lichtenhaimb,
person__502,Martin Stempfle,Martin,Stempfle,
person__503,Magnus Agricola,Magnus,Agricola,http://d-nb.info/gnd/118064851
person__508,Meinrad Heuchlinger,Meinrad,Heuchlinger,
person__509,Meinrad Steinegger,Meinrad,Steinegger,
person__510,Moritz Geiger,Moritz,Geiger,
person__511,Marian Rassler,Marian,Rassler,
person__513,Odilo Neumann,Odilo,Neumann,
person__514,Placidus Urtlauff,Placidus,Urtlauff,
person__515,Placidus Spiess,Placidus,Spiess,
person__516,Pontian Schütz,Pontian,Schütz,
person__519,Placidus Bridler,Placidus,Bridler,
person__520,Paul Betschart,Paul,Betschart,
person__523,Placidus Renz,Placidus,Renz,
person__524,Roman Hay,Roman,Hay,
person__525,Rupert Gansler,Rupert,Gansler,
person__526,Rupert Ludwig,Rupert,Ludwig,
person__527,Roman Steigentesch,Roman,Steigentesch,
person__528,Robert König,Robert,König,
person__530,Sympert Vischer,Sympert,Vischer,
person__531,Simon Huebmann,Simon,Huebmann,
person__533,Simon Rettenbacher,Simon,Rettenbacher,
person__535,Sebastian Textor,Sebastian,Textor,
person__536,Simon Fürbas,Simon,Fürbas,
person__540,Thomas Metzler,Thomas,Metzler,
person__542,Ulrich Rottenheusler,Ulrich,Rottenheusler,
person__543,Willibald Lendlin,Willibald,Lendlin,
person__544,Wolfgang Schmidt,Wolfgang,Schmidt,
person__545,Wolfgang Weishaupt,Wolfgang,Weishaupt,
person__546,Yso Pfau,Yso,Pfau,
person__547,Sebastian Treger,Sebastian,Treger,
person__548,Wilhelm Hofer,Wilhelm,Hofer,
person__550,Luitold von Mondsee,Luitold von Mondsee,,
person__551,Eberhard von Mondsee,Eberhard von Mondsee,,
person__552,Hartwig von Talmairign,Hartwig von Talmairign,,
person__553,Konrad von Reichenau,Konrad von Reichenau,,
person__554,Heinrich Warzierloch,Heinrich,Warzierloch,
person__555,Gundaker von Mondsee,Gundaker von Mondsee,,
person__556,Christian von Mondsee,Christian von  Mondsee,,
person__557,Johannes Trenbeck,Johannes,Trenbeck,
person__558,Maurus von Mondsee,Maurus von Mondsee,,
person__559,Johannes Hachelstetter,Johannes,Hachelstetter,
person__560,Ulrich Pfister,Ulrich,Pfister,
person__561,Johannes Staffelstain,Johannes,Staffelstain,
person__562,Heinrich Immerteuer,Heinrich ,Immerteuer,
person__563,Wilhelm Kogler,Wilhelm,Kogler,
person__564,Jakob Keser,Jakob,Keser,
person__565,Sebastian Fuesstainer,Sebastian,Fuesstainer,
person__566,Andreas von Mondsee,Andreas von Mondsee,,
person__567,Wolfgang de Wäring,Wolfgang de,Wäring,
person__568,Hieronymus de Werdea,Hieronymus de,Werdea,
person__569,Benedikt Eck von Piburg,Benedikt,Eck von Piburg,
person__570,Ulrich von Mondsee,Ulrich von Mondsee,,
person__571,Erhard von Mondsee,Erhard von Mondsee,,
person__572,Weigkard von Mondsee,Weigkard von Mondsee,,
person__573,Kaspar von Altenburg,Kaspar von Altenburg,,
person__574,Johannes Hauser,Johannes,Hauser,
person__575,Walthasar von Mondsee,Walthasar von Mondsee,,
person__576,Petrus (OSB Mondsee),Petrus (OSB Mondsee),,
person__577,Florian Schiffer,Florian,Schiffer,
person__578,Benedikt Luffzeilner,Benedikt,Luffzeilner,
person__579,Modestus Pörzl,Modestus,Pörzl,
person__580,Bernhard Reisinger,Bernhard,Reisinger,
person__581,Hieronymus de Gorzia,Hieronymus de,Gorzia,
person__582,Stephan Rudenberger,Stephan,Rudenberger,
person__583,Leonhard Schilling,Leonhard,Schilling,
person__584,Johannes Schöndorffer,Johannes,Schöndorffer,
person__585,Othmar Räbl,Othmar,Räbl,
person__586,Roman Priester,Roman,Priester,
person__587,Adalgar Hölzl,Adalgar,Hölzl,
person__588,Christoph von Mondsee,Christoph von Mondsee,,
person__589,Leopold von Mondsee,Leopold von Mondsee,,
person__590,Sigismund Hohenkirchner,Sigismund,Hohenkirchner,
person__591,Marcus Puecher,Marcus,Puecher,
person__592,Laurentius von Mondsee,Laurentius von Mondsee,,
person__593,Jodok Sedelmayr,Jodok,Sedelmayr,
person__594,Johannes Wolfgang Agricola,Johannes Wolfgang,Agricola,
person__595,Johannes Christoph Victor Wasner,Johannes Christoph Victor,Wasner,
person__596,Johannes Weiglmayr,Johannes,Weiglmayr,
person__597,Thomas Grassleitner,Thomas,Grassleitner,
person__598,Anton Gross,Anton,Gross,
person__599,Simon Rebiser,Simon,Rebiser,
person__600,Caspar Kymicher,Caspar,Kymicher,
person__601,Johannes Hörmann,Johannes,Hörmann,
person__602,Wolfgang David Probst,Wolfgang David,Probst,
person__603,Maurus Schaller,Maurus,Schaller ,
person__604,Balthasar Nieberlin,Balthasar,Nieberlin,
person__605,Placidus Georg Mennichen,Placidus Georg,Mennichen,
person__606,Bernhard Kemmerer,Bernhard,Kemmerer,
person__607,Aemilian Alxinger,Aemilian,Alxinger,
person__608,Magnus Althamer,Magnus,Althamer,
person__609,Michael Kistler,Michael,Kistler,
person__610,Roman Klinglin,Roman,Klinglin,
person__611,Franz Soyer,Franz,Soyer,
person__612,Symbert Wibmer,Symbert,Wibmer,
person__613,Gregor Thalmann,Gregor,Thalmann,
person__614,Caspar Stumbvoll,Caspar,Stumbvoll,
person__615,Melchior Lebenhauser,Melchior,Lebenhauser,
person__616,Cölestin Kolb,Cölestin,Kolb,
person__617,Martin Widmasser,Martin,Widmasser,
person__618,Placidus Rueff,Placidus,Rueff,
person__619,Sebastian Poll,Sebastian,Poll,
person__620,Paul Voglmayr,Paul,Voglmayr,
person__621,Franz Eder,Franz,Eder,
person__622,Dominik Weinbrenner,Dominik,Weinbrenner,
person__623,Alphons Wibmer,Alphons,Wibmer,
person__624,Roman Pinder,Roman,Pinder,
person__625,Anselm Pacher,Anselm,Pacher,
person__626,Anton Anfang,Anton,Anfang,http://d-nb.info/gnd/121812014
person__627,Aemilian Resch,Aemilian,Resch,
person__628,Benedikt Öller,Benedikt,Öller,
person__629,Amand Göbl,Amand,Göbl,
person__630,Edmund Berthold,Edmund,Berthold,
person__631,Gregor Kassnikh,Gregor,Kassnikh,
person__632,Alphons Wimpacher,Alphons,Wimpacher,
person__633,Michael Lader,Michael,Lader,
person__634,Coelestin Kuchler,Coelestin,Kuchler,
person__635,Wolfgang Sambs,Wolfgang,Sambs,
person__636,Placidus Kammerpauer,Placidus,Kammerpauer,
person__637,Leopold Zeller,Leopold,Zeller,
person__638,Joseph Schopper,Joseph,Schopper,
person__639,Konrad Haydn,Konrad,Haydn,
person__640,Oddo Mandl,Oddo,Mandl,
person__641,Magnus Hiltprandt,Magnus,Hiltprandt,
person__642,Oddo Engel,Oddo,Engel,
person__643,Gregor Schwab,Gregor,Schwab,
person__644,Augustin Trebrer,Augustin,Trebrer,
person__645,Bonifaz Grainer,Bonifaz,Grainer,
person__646,Adalbert Seydenegg,Adalbert,Seydenegg,
person__648,Marian Schiemer,Marian,Schiemer,
person__649,Gerhard Stadler,Gerhard,Stadler,
person__650,Gotthard Fecker,Gotthard,Fecker,
person__651,Berthold Eisele,Berthold,Eisele,
person__652,Roman Starzer,Roman,Starzer,
person__653,Robert Zeyringer,Robert,Zeyringer,
person__654,Simon Kuchler,Simon,Kuchler,
person__655,Kasimir Moll,Kasimir,Moll,
person__656,Hermann Sarstainer,Hermann,Sarstainer,
person__657,Bernhard Lidl,Bernhard,Lidl,
person__658,Rupert Helmreich,Rupert,Helmreich,
person__659,Petrus von Clairvaux,Petrus von Clairvaux,,
person__660,Boniface de Vallée,Boniface de Vallée,,
person__661,Andreas Lyaboeuf,Andreas,Lyaboeuf,
person__662,Francois Chazal,Francois,Chazal,
person__663,Anonymus (OSB),Anonymus (OSB),,
person__664,Jean Baptist Poncet,Jean Baptist,Poncet,
person__666,Claudius Chausandier,Claudius,Chausandier,
person__667,Andreas Guerin,Andreas,Guerin,
person__668,Guinamundus von St.-Maixent zu Poitiers,Guinamundus von St.-Maixent zu Poitiers,,
person__669,Leodegar von St.-Maixent zu Poitiers,Leodegar von St.-Maixent zu Poitiers,,
person__670,Petrus Raymondi,Petrus,Raymondi,
person__671,Guillelmus de Vesancai,Guillelmus de,Vesancai,
person__672,Petrus Baston,Petrus,Baston,
person__673,Joachim Edlinger,Joachim,Edlinger,
person__674,Zacharias Witzenberger,Zacharias,Witzenberger,
person__675,Theophil Schindlauer,Theophil,Schindlauer,
person__676,Bernhard Bernauer,Bernhard,Bernauer,
person__677,Ildephons Thalner,Ildephons,Thalner,
person__678,Anselm Neumayr,Anselm,Neumayr,
person__679,Beda Groten,Beda,Groten,
person__680,Konrad von Brauweiler,Konrad von Brauweiler,,
person__681,Heribert Artopäus,Heribert,Artopäus,
person__682,Johann Heinrich Münch (Munch),Johann Heinrich,Münch (Munch),
person__683,Nicolaus Schögens,Nicolaus,Schögens,
person__684,Petrus Keister,Petrus,Keister,
person__686,Matthias Franken,Matthias,Franken,
person__687,Gerhard Piliopeus,Gerhard,Piliopeus,
person__688,Leonardus Gulichius,Leonardus,Gulichius,
person__689,Caspar Volmar,Caspar,Volmar,
person__690,Gumbert von Abdinghof,Gumbert von Abdinghof,,
person__691,Leonhard Ruben,Leonhard,Ruben,
person__692,Albert Egging,Albert ,Egging,
person__693,Heinrich Keller,Heinrich,Keller,
person__694,Gilbert Génébrard,Gilbert,Génébrard,http://d-nb.info/gnd/18832688X
person__695,Jakob Faber,Jakob,Faber,
person__696,Johann de Jonvelle,Johann de,Jonvelle,
person__697,Joachim Périon,Joachim,Périon,
person__699,Lambert von St.-Laurent zu Lüttich,Lambert von St.-Laurent zu Lüttich,,
person__700,Ludwig von St.-Laurent zu Lüttich,Ludwig von St.-Laurent zu Lüttich,,
person__701,Falchalin von St.-Laurent zu Lüttich,Falchalin von St.-Laurent zu Lüttich,,
person__702,Heribrand von St.-Laurent zu Lüttich,Heribrand von St.-Laurent zu Lüttich,,
person__705,Robert von St.-Laurent zu Lüttich,Robert von St.-Laurent zu Lüttich,,
person__707,Gislebert von St.-Laurent zu Lüttich,Gislebert von St.-Laurent zu Lüttich,,
person__708,Johannes de Iride,Johannes de Iride,,
person__711,Johannes DeeKuius,Johannes,DeeKuius,
person__712,Johannes Stabulaus,Johannes Stabulaus,,
person__713,Adrian von St.-Laurent zu Lüttich,Adrian von St.-Laurent zu Lüttich,,
person__714,Lambertus de Stipite,Lambertus de Stipite,,
person__716,Bartholomäus de Longchamps,Bartholomäus de Longchamps,,
person__717,Nicolas Vliermael,Nicolas,Vliermael,
person__718,Paschasius Berselius,Paschasius,Berselius,
person__719,Johannes de Waha,Johannes de Waha,,
person__720,Caspar Cancellarius,Caspar Cancellarius,,
person__721,Heinrich Heinlein,Heinrich,Heinlein,
person__722,Albert Melchior,Albert,Melchior,
person__723,Placidus Vigell,Placidus,Vigell,
person__724,Ebo von Reims,Ebo von Reims,,
person__725,Hinkmar von Reims,Hinkmar von Reims,,
person__726,Petrus Cellensis,Petrus Cellensis,,
person__727,Anselm von Reims,Anselm von Reims,,
person__729,Poncard de Vendresse,Poncard de Vendresse,,
person__730,Nicolaus de Larisvilla,Nicolaus de Larisvilla,,
person__732,Andreas Valladier,Andreas,Valladier,
person__733,Philipp François,Philipp,François,
person__734,Hyacinth Collaut,Hyacinth,Collaut,
person__735,Fiacrius De Rey,Fiacrius,De Rey,
person__737,Carl Descrochets,Carl,Descrochets,
person__738,Petrus Descrochets,Petrus,Descrochets,
person__739,Martin Rethelois,Martin,Rethelois,
person__740,Robert Desgabets,Robert,Desgabets,http://d-nb.info/gnd/12444461X
person__741,Heinrich Hennezon,Heinrich,Hennezon,
person__742,Romain Calame,Romain,Calame,
person__743,Rupert Renault,Rupert,Renault,
person__744,Joseph Caillet,Joseph,Caillet,
person__745,Placidus de Villers,Placidus de,Villers,
person__746,Faustus (Kongregation St.-Vanne),Faustus (Kongregation St.-Vanne),,
person__747,Odilo Bebin,Odilo,Bebin,
person__748,Albert Belin,Albert,Belin,
person__749,Barthelme Senoque,Barthelme,Senoque,
person__750,Hyacinthe Alliot,Hyacinthe,Alliot,
person__751,Alexandre Royer,Alexandre,Royer,
person__752,Benigne Henrier,Benigne,Henrier,
person__753,Hilarion Monnier,Hilarion,Monnier,
person__754,Remigius Michel,Remigius,Michel,
person__755,Matthieu Petit-Didier,Matthieu,Petit-Didier,
person__756,Jean-Claude Petitot,Jean-Claude,Petitot,
person__757,André Royer,André,Royer,
person__758,Alphons Stadler,Alphons,Stadler,
person__759,Albert Reichart,Albert,Reichart,
person__761,Hieronymus a Mediolano,Hieronymus a Mediolano,,
person__762,Gaspar Jordanus,Gaspar,Jordanus,
person__763,Lucas Bernardus,Lucas,Bernardus,http://d-nb.info/gnd/102429812
person__767,Hieronymus Cathaneus,Hieronymus,Cathaneus,
person__769,Marcus a Cremona,Marcus a Cremona,,
person__770,Eutichio Cordes,Eutichio,Cordes,
person__771,Lucas Gulielmus,Lucas,Gulielmus,
person__773,Hieronymus Lippius,Hieronymus,Lippius,
person__775,Paulus Malassus,Paulus,Malassus,
person__777,Vitalis Terrarubra,Vitalis,Terrarubra,
person__778,Petrus Vecchia,Petrus,Vecchia,
person__779,Johannes Hieronymus Textorius,Johannes Hieronymus,Textorius,
person__780,Giuseppe Maria Sandi,Giuseppe Maria,Sandi,
person__781,Joseph Lospichler,Joseph,Lospichler,
person__782,Sigmund Dullinger,Sigmund,Dullinger,
person__783,Honorat Kolb,Honorat,Kolb,
person__784,Roman Müller,Roman,Müller,
person__785,Johann Werlin,Johann,Werlin,
person__786,Rufin Sigel,Rufin,Sigel,
person__787,Bernhard Ruedorffer,Bernhard,Ruedorffer,
person__788,Otto Guzinger,Otto,Guzinger,
person__789,Emmeram Baumgartner,Emmeram,Baumgartner,
person__791,Alberich Ebenhöch,Alberich,Ebenhöch,
person__792,Stephan von Lüttich,Stephan von Lüttich,,
person__794,Franko von St.-Laurent zu Lüttich,Franko von St.-Laurent zu Lüttich,,
person__798,David von St.-Laurent zu Lüttich,David von St.-Laurent zu Lüttich,,
person__799,Engelbert von St.-Laurent zu Lüttich,Engelbert von St.-Laurent zu Lüttich,,
person__800,Hl. Rupert,Hl. Rupert,,
person__804,Johannes Gislebert,Johannes Gislebert,,
person__807,Johannes von St.-Laurent zu Lüttich,Johannes von St.-Laurent zu Lüttich,,
person__809,Johann Bernhard Schenk von Schweinsberg,Johann Bernhard,Schenk von Schweinsberg,
person__810,Anton Franz Wolfradt,Anton Franz,Wolfradt,
person__811,Michael Einslin,Michael,Einslin,http://d-nb.info/gnd/136187102
person__812,Lucas Budin,Lucas,Budin,
person__813,Gregor Zödl,Gregor,Zödl,
person__814,Arnold von Prüfening,Arnold von Prüfening,,
person__815,Theodor Mayer,Theodor,Mayer,
person__816,Sigismund Münich,Sigismund,Münich,
person__817,Hl. Urban II.,Hl. Urban II.,,
person__819,Stephan von St.-Urbain,Stephan von St.-Urbain,,
person__820,Roger II.,Roger II.,,
person__822,Eberhard II. von Weihenstephan,Eberhard II. von Weihenstephan,,
person__824,Christoph I.,Christoph I.,,
person__825,Thomas Karrer,Thomas,Karrer,
person__826,Daniel Mayr,Daniel,Mayr,
person__827,Johannes Widmann,Johannes,Widmann,
person__828,Korbinian Foederl,Korbinian,Foederl,
person__829,Roman Doll,Roman,Doll,
person__830,Benedikt Abelzhauser,Benedikt,Abelzhauser,http://d-nb.info/gnd/129728527
person__831,Raimund Duelli,Raimund,Duelli,
person__832,Stephan von Olmütz,Stephan von Olmütz,,
person__833,Petrus von Rosenheim,Petrus von Rosenheim,,
person__834,Tello von Chur,Tello von Chur,,
person__835,Thüring von Attinghausen-Schweinsberg,Thüring von Attinghausen-Schweinsberg,,
person__836,Jakob Bundi,Jakob ,Bundi,
person__837,Joseph Desax,Joseph,Desax,
person__838,Adalbert de Medell,Adalbert de,Medell,
person__839,Maurus Cathrin,Maurus,Cathrin,
person__841,Otfried von Weißenburg,Otfried von Weißenburg,,
person__842,Wenzel von Niederaltaich,Wenzel von Niederaltaich,,
person__843,Altmann von Niederaltaich,Altmann von  Niederaltaich,,
person__845,Wolfgang von Niederaltaich,Wolfgang von Niederaltaich,,
person__846,Roman Lauffen,Roman,Lauffen,
person__848,Sebastian Harzer de Salenstein,Sebastian,Harzer de Salenstein,
person__849,Benedikt Oederlin,Benedikt,Oederlin,
person__850,Nikolaus Fortman,Nikolaus,Fortman,
person__851,Ello von Brauweiler,Ello von Brauweiler,,
person__852,Wolphelm von Brauweiler,Wolphelm von Brauweiler,,
person__854,Andreas Münster,Andreas,Münster,
person__855,Adam Adami,Adam,Adami,
person__856,Petrus Heister,Petrus,Heister,
person__857,Philipp Breuer,Philipp,Breuer,
person__858,Andreas Göringer,Andreas,Göringer,
person__859,Johannes Heider,Johannes,Heider,
person__860,Jodok Höslin,Jodok,Höslin,
person__862,Konrad von Pfäfers,Konrad von Pfäfers,,
person__863,Heinrich Böschung,Heinrich,Böschung,
person__864,Vinzenz Finck,Vinzenz,Finck,
person__865,Fintan Kiefer,Fintan,Kiefer,
person__866,Urs Graf Delsberg,Urs Graf,Delsberg,
person__867,Heinrich Caesar,Heinrich,Caesar,
person__868,Benedikt Schwaller,Benedikt,Schwaller,
person__869,Gregor Herzberg,Gregor,Herzberg,
person__870,Johann Baptist Staal,Johann Baptist,Staal,
person__871,Vitalis Bröchin,Vitalis,Bröchin,
person__872,Ägidius Ammann,Ägidius,Ammann,
person__873,Bonaventura Honegger,Bonaventura,Honegger,
person__874,Joachim Böglin,Joachim,Böglin,
person__875,Anselm Greutter,Anselm,Greutter,
person__876,Adalhelm von Engelberg,Adalhelm von Engelberg,,
person__879,Petrus Riga,Petrus Riga,,
person__880,Heinrich von Koitingen,Heinrich von Koitingen,,
person__881,Walter von Châtillon,Walter von Châtillon,,
person__882,Rudolf von Thurnegg,Rudolf von Thurnegg,,
person__883,Heinrich Wüll,Heinrich,Wüll,
person__884,Christian Hartschi von Thun,Christian,Hartschi von Thun,
person__885,Maurus Keller,Maurus,Keller,
person__887,Bonaventura Leu,Bonaventura,Leu,
person__888,Adalhelm Zurgilgen,Adalhelm,Zurgilgen,
person__889,Gregor Fleischlin,Gregor,Fleischlin,
person__890,Athanasius von Castanea,Athanasius von Castanea,,
person__891,Bruno von Gladbach,Bruno von Gladbach,,
person__892,Wolfhelm von Brauweiler,Wolfhelm von Brauweiler,,
person__893,Gottfried Kempens,Gottfried,Kempens,
person__894,Petrus Sybenius,Petrus,Sybenius,
person__895,Bruno Charmans,Bruno,Charmans,http://d-nb.info/gnd/103130942
person__896,Laurenz van Dript,Laurenz van,Dript,
person__897,Eberhard Nakatenus,Eberhard,Nakatenus,
person__898,Nikolaus Ellenbog,Nikolaus,Ellenbog,http://d-nb.info/gnd/175431825
person__899,Christian Franz,Christian,Franz,
person__900,David Aichler,David,Aichler,
person__902,Gallus Sandholzer,Gallus,Sandholzer,
person__903,Gregor Reubi,Gregor,Reubi,
person__904,Jakob Molitor,Jakob,Molitor,
person__905,Sebastian Rhöer,Sebastian,Rhöer,
person__907,Johanna von Lamberg,Johanna von,Lamberg,
person__908,Hieronymus Besange,Hieronymus,Besange,
